0,1,2
,,
HTML name,R G B,R G B
HTML name,Hex,Decimal
"Purple, violet, and magenta colors","Purple, violet, and magenta colors","Purple, violet, and magenta colors"
Indigo,4B0082,"75, 0, 130"
Purple,800080,"128, 0, 128"
DarkMagenta,8B008B,"139, 0, 139"
DarkViolet,9400D3,"148, 0, 211"
DarkSlateBlue,483D8B,"72, 61, 139"
BlueViolet,8A2BE2,"138, 43, 226"
DarkOrchid,9932CC,"153, 50, 204"
Fuchsia,FF00FF,"255, 0, 255"
Magenta,FF00FF,"255, 0, 255"
SlateBlue,6A5ACD,"106, 90, 205"
MediumSlateBlue,7B68EE,"123, 104, 238"
MediumOrchid,BA55D3,"186, 85, 211"
MediumPurple,9370DB,"147, 112, 219"
Orchid,DA70D6,"218, 112, 214"
Violet,EE82EE,"238, 130, 238"
Plum,DDA0DD,"221, 160, 221"
Thistle,D8BFD8,"216, 191, 216"
Lavender,E6E6FA,"230, 230, 250"
Blue colors,Blue colors,Blue colors
MidnightBlue,191970,"25, 25, 112"
Navy,000080,"0, 0, 128"
DarkBlue,00008B,"0, 0, 139"
MediumBlue,0000CD,"0, 0, 205"
Blue,0000FF,"0, 0, 255"
RoyalBlue,4169E1,"65, 105, 225"
SteelBlue,4682B4,"70, 130, 180"
DodgerBlue,1E90FF,"30, 144, 255"
DeepSkyBlue,00BFFF,"0, 191, 255"
CornflowerBlue,6495ED,"100, 149, 237"
SkyBlue,87CEEB,"135, 206, 235"
LightSkyBlue,87CEFA,"135, 206, 250"
LightSteelBlue,B0C4DE,"176, 196, 222"
LightBlue,ADD8E6,"173, 216, 230"
PowderBlue,B0E0E6,"176, 224, 230"
Cyan colors,Cyan colors,Cyan colors
Teal,008080,"0, 128, 128"
DarkCyan,008B8B,"0, 139, 139"
LightSeaGreen,20B2AA,"32, 178, 170"
CadetBlue,5F9EA0,"95, 158, 160"
DarkTurquoise,00CED1,"0, 206, 209"
MediumTurquoise,48D1CC,"72, 209, 204"
Turquoise,40E0D0,"64, 224, 208"
Aqua,00FFFF,"0, 255, 255"
Cyan,00FFFF,"0, 255, 255"
Aquamarine,7FFFD4,"127, 255, 212"
PaleTurquoise,AFEEEE,"175, 238, 238"
LightCyan,E0FFFF,"224, 255, 255"
